 ,25 - 34 years Male,35 - 44 years Male,45 - 54 years Male,25 - 34 years Female,35 - 44 years Female,45 - 54 years Female
Carlow,90.6,91.5,86.8,78.1,68.6,65.3
Dublin City,87.1,90.5,87.6,83.2,77.8,72.4
Dún Laoghaire-Rathdown,91.1,95,93.1,85.1,75.1,72.2
Fingal,93.6,95,92.6,83.4,75,72.6
South Dublin,92.9,93.6,90.8,81.2,73.3,71.9
Kildare,93.5,94.1,91,81.5,70.9,70.4
Kilkenny,92.7,93.9,89.7,84.1,75.8,71.2
Laois,92.8,93.4,87.9,80.1,69.9,68.4
Longford,93.3,92.6,87.8,78.9,72,69.8
Louth,92,92.5,88,80.4,72.8,69.2
Meath,94.6,95.4,92.1,82.3,71,70.4
Offaly,93.5,93.7,88.8,79.1,70.6,67.7
Westmeath,92.4,93.5,88.6,79.7,71.5,71
Wexford,93.6,92.9,88.6,79,69.9,67
Wicklow,92.9,94.1,91.1,80.4,70,69.9
Clare,92,93.6,91.1,82.6,74.4,73.1
Cork City,85.6,87.8,84,80.2,70.8,63.9
Cork County,93.6,94.5,91.5,83.1,72.1,69.3
Kerry,91.4,92.8,89.8,81.9,73.1,69.3
Limerick City,83.3,87,83.1,76.9,68.7,64.3
Limerick County,90.1,93,90,80.9,72.3,69.7
North Tipperary,92.3,93.1,89.7,80.4,72.7,70.9
South Tipperary,93,92.7,87.9,80.8,72.4,69.6
Waterford City,88.2,91.8,87.5,82,75.3,70.7
Waterford County,93.1,93.1,91,80.2,73.4,69.3
Galway City,85,90.1,87.1,81.5,77.3,74.8
Galway County,92.8,93.8,89.8,84,74.6,72.7
Leitrim,93.1,92.7,87.7,81.9,75.9,73.9
Mayo,91.9,92.4,88.3,81.3,73.4,72.1
Roscommon,93,92.4,87.6,82.3,73.9,71.3
Sligo,90.2,92.3,89.1,83.2,77.4,75.4
Cavan,93.4,93.2,90,80.1,72.2,69.3
Donegal,90.9,92,87.6,79.2,71.4,68.1
Monaghan,93.2,93.6,90,83.2,73.1,71.7
