 ,25 - 34 years Male,35 - 44 years Male,45 - 54 years Male,25 - 34 years Female,35 - 44 years Female,45 - 54 years Female
Carlow,4272,4174,3454,4390,4066,3434
Dublin City,59300,39123,30092,60000,37667,31110
Dún Laoghaire-Rathdown,15463,13908,12837,16588,14948,14524
Fingal,25153,23481,15482,27830,23848,16367
South Dublin,23088,19470,15037,25032,20001,16630
Kildare,16944,17721,13163,18150,17641,13199
Kilkenny,6828,7295,6406,7139,7213,6299
Laois,6613,6454,5090,6796,6173,4738
Longford,2778,2896,2475,2925,2791,2349
Louth,9221,9601,7681,9795,9665,7611
Meath,13918,15865,11688,15358,15782,11273
Offaly,5442,5772,5062,5824,5678,4874
Westmeath,6545,6434,5547,6848,6521,5521
Wexford,9945,10936,9500,10856,10968,9607
Wicklow,9557,10638,9093,10363,11051,9289
Clare,7897,8915,7873,8114,9129,7764
Cork City,11184,7500,7179,10874,6949,7587
Cork County,29283,32167,26432,31865,31985,25721
Kerry,10098,10807,9951,10368,10327,9863
Limerick City,5013,3888,3465,4877,3617,3509
Limerick County,10213,10139,8530,10461,9813,8477
North Tipperary,4877,5298,4822,4828,5232,4458
South Tipperary,6216,6439,5981,6471,6337,5875
Waterford City,3979,3292,2773,4138,3231,2964
Waterford County,4243,5073,4622,4459,5105,4507
Galway City,8829,5179,3695,9071,5412,4103
Galway County,11615,13837,11875,12117,13745,11483
Leitrim,2130,2314,2238,2185,2272,2063
Mayo,8450,9049,8861,8568,9025,8874
Roscommon,4309,4693,4418,4309,4468,4197
Sligo,4533,4532,4326,4624,4518,4457
Cavan,5299,5455,4788,5561,5315,4504
Donegal,10650,11740,9935,11250,11761,10205
Monaghan,4603,4482,3882,4545,4252,3882
